"Name","State","Notes","User","Tags","Created","Runtime","Sweep","arm_distributions.even","arm_distributions.odd","arm_distributions.uniform","attention_dropout","emb_strategy","embedding_dim","embedding_dropout","episode_len","feedforward_dim","max_action","num_actions","num_heads","num_layers","num_states","optimizer","optimizer_kwargs.betas","optimizer_kwargs.lr","residual_dropout","scheduler","scheduler_kwargs.T_0","scheduler_kwargs.eta_min","seq_len","epoch","train_accuracy","train_loss","train_mean_regret","train_mean_reward","trainer/global_step","valid_accuracy/dataloader_idx_0","valid_accuracy/dataloader_idx_1","valid_loss/dataloader_idx_0","valid_loss/dataloader_idx_1","valid_mean_regret/dataloader_idx_0","valid_mean_regret/dataloader_idx_1","valid_mean_reward/dataloader_idx_0","valid_mean_reward/dataloader_idx_1"
"BanditDT_lr=1e-05_layers=16_seq=64_embed=64","crashed","-","","bandit","2024-08-14T00:46:42.000Z","1231","","[0.715158224105835,0.2538370192050934,0.7420697212219238,0.26928046345710754,0.7629759907722473,0.2575136125087738,0.7290505766868591,0.3063233494758606,0.7439114451408386,0.271114706993103]","[0.26788556575775146,0.7275376915931702,0.28696298599243164,0.7303275465965271,0.26839134097099304,0.7625457644462585,0.2632993459701538,0.7283633351325989,0.3089433014392853,0.6961244940757751]","[0.5012867450714111,0.49775734543800354,0.5054509043693542,0.5156232118606567,0.4612155258655548,0.4667917490005493,0.5344703793525696,0.5298969745635986,0.525170087814331,0.4662938714027405]","0.1","stack","64","0.1","20000","256","1","10","4","16","0","torch.optim.adam.Adam","[0.9,0.99]","0.00001","0.1","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1000","0.000002","64","10","0.7810400128364563","0.5929410457611084","0.08228074014186859","0.7358470559120178","8601","0.006599999964237213","0.6797999739646912","2.5692005157470703","1.5181080102920532","0.33841419219970703","0.209076389670372","0.543203592300415","0.6985656023025513"
"BanditDT_lr=1e-05_layers=8_seq=64_embed=64","finished","-","","bandit","2024-08-14T00:21:42.000Z","1494","","[0.715158224105835,0.2538370192050934,0.7420697212219238,0.26928046345710754,0.7629759907722473,0.2575136125087738,0.7290505766868591,0.3063233494758606,0.7439114451408386,0.271114706993103]","[0.26788556575775146,0.7275376915931702,0.28696298599243164,0.7303275465965271,0.26839134097099304,0.7625457644462585,0.2632993459701538,0.7283633351325989,0.3089433014392853,0.6961244940757751]","[0.5012867450714111,0.49775734543800354,0.5054509043693542,0.5156232118606567,0.4612155258655548,0.4667917490005493,0.5344703793525696,0.5298969745635986,0.525170087814331,0.4662938714027405]","0.1","stack","64","0.1","20000","256","1","10","4","8","0","torch.optim.adam.Adam","[0.9,0.99]","0.00001","0.1","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1000","0.000002","64","25","0.7870486378669739","0.5747617483139038","0.08228326588869095","0.7357660531997681","19999","0.009600000455975533","0.8434000015258789","2.7448859214782715","1.326534867286682","0.282778263092041","0.1335834413766861","0.4608227610588074","0.6336185336112976"
"BanditDT_lr=1e-05_layers=4_seq=64_embed=64","finished","-","","bandit","2024-08-14T00:06:46.000Z","890","","[0.715158224105835,0.2538370192050934,0.7420697212219238,0.26928046345710754,0.7629759907722473,0.2575136125087738,0.7290505766868591,0.3063233494758606,0.7439114451408386,0.271114706993103]","[0.26788556575775146,0.7275376915931702,0.28696298599243164,0.7303275465965271,0.26839134097099304,0.7625457644462585,0.2632993459701538,0.7283633351325989,0.3089433014392853,0.6961244940757751]","[0.5012867450714111,0.49775734543800354,0.5054509043693542,0.5156232118606567,0.4612155258655548,0.4667917490005493,0.5344703793525696,0.5298969745635986,0.525170087814331,0.4662938714027405]","0.1","stack","64","0.1","20000","256","1","10","4","4","0","torch.optim.adam.Adam","[0.9,0.99]","0.00001","0.1","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1000","0.000002","64","25","0.7841492891311646","0.5859106183052063","0.08295663446187973","0.7355837225914001","19999","0.008200000040233135","0.7793999910354614","2.780007839202881","1.0664831399917605","0.3969983756542206","0.13560272753238678","0.6464816331863403","0.6265130639076233"
"BanditDT_lr=1e-05_layers=2_seq=64_embed=64","finished","-","","bandit","2024-08-13T23:56:11.000Z","629","","[0.715158224105835,0.2538370192050934,0.7420697212219238,0.26928046345710754,0.7629759907722473,0.2575136125087738,0.7290505766868591,0.3063233494758606,0.7439114451408386,0.271114706993103]","[0.26788556575775146,0.7275376915931702,0.28696298599243164,0.7303275465965271,0.26839134097099304,0.7625457644462585,0.2632993459701538,0.7283633351325989,0.3089433014392853,0.6961244940757751]","[0.5012867450714111,0.49775734543800354,0.5054509043693542,0.5156232118606567,0.4612155258655548,0.4667917490005493,0.5344703793525696,0.5298969745635986,0.525170087814331,0.4662938714027405]","0.1","stack","64","0.1","20000","256","1","10","4","2","0","torch.optim.adam.Adam","[0.9,0.99]","0.00001","0.1","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1000","0.000002","64","25","0.7859027981758118","0.5834187865257263","0.08206548541784286","0.7358568906784058","19999","0.03099999949336052","0.8485999703407288","2.6922764778137207","0.9355061650276184","0.18899886310100555","0.13345998525619507","0.3575718402862549","0.628955602645874"
"BanditDT_lr=5e-06_layers=16_seq=64_embed=64","finished","-","","bandit","2024-08-13T23:09:27.000Z","2797","","[0.715158224105835,0.2538370192050934,0.7420697212219238,0.26928046345710754,0.7629759907722473,0.2575136125087738,0.7290505766868591,0.3063233494758606,0.7439114451408386,0.271114706993103]","[0.26788556575775146,0.7275376915931702,0.28696298599243164,0.7303275465965271,0.26839134097099304,0.7625457644462585,0.2632993459701538,0.7283633351325989,0.3089433014392853,0.6961244940757751]","[0.5012867450714111,0.49775734543800354,0.5054509043693542,0.5156232118606567,0.4612155258655548,0.4667917490005493,0.5344703793525696,0.5298969745635986,0.525170087814331,0.4662938714027405]","0.1","stack","64","0.1","20000","256","1","10","4","16","0","torch.optim.adam.Adam","[0.9,0.99]","0.000005","0.1","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1000","0.000002","64","25","0.7824826240539551","0.5878922939300537","0.08288788795471191","0.7358026504516602","19999","0.005400000140070915","0.6898000240325928","2.4428293704986572","1.4064536094665527","0.34161996841430664","0.2064353823661804","0.5490830540657043","0.6953784823417664"
"BanditDT_lr=5e-06_layers=8_seq=64_embed=64","finished","-","","bandit","2024-08-13T22:44:29.000Z","1492","","[0.715158224105835,0.2538370192050934,0.7420697212219238,0.26928046345710754,0.7629759907722473,0.2575136125087738,0.7290505766868591,0.3063233494758606,0.7439114451408386,0.271114706993103]","[0.26788556575775146,0.7275376915931702,0.28696298599243164,0.7303275465965271,0.26839134097099304,0.7625457644462585,0.2632993459701538,0.7283633351325989,0.3089433014392853,0.6961244940757751]","[0.5012867450714111,0.49775734543800354,0.5054509043693542,0.5156232118606567,0.4612155258655548,0.4667917490005493,0.5344703793525696,0.5298969745635986,0.525170087814331,0.4662938714027405]","0.1","stack","64","0.1","20000","256","1","10","4","8","0","torch.optim.adam.Adam","[0.9,0.99]","0.000005","0.1","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1000","0.000002","64","25","0.7829687595367432","0.5899549126625061","0.08229109644889832","0.7357862591743469","19999","0.005400000140070915","0.6787999868392944","2.784668445587158","1.6969480514526367","0.45126429200172424","0.20302580296993256","0.7271379232406616","0.6927926540374756"
"BanditDT_lr=5e-06_layers=4_seq=64_embed=64","finished","-","","bandit","2024-08-13T22:29:54.000Z","869","","[0.715158224105835,0.2538370192050934,0.7420697212219238,0.26928046345710754,0.7629759907722473,0.2575136125087738,0.7290505766868591,0.3063233494758606,0.7439114451408386,0.271114706993103]","[0.26788556575775146,0.7275376915931702,0.28696298599243164,0.7303275465965271,0.26839134097099304,0.7625457644462585,0.2632993459701538,0.7283633351325989,0.3089433014392853,0.6961244940757751]","[0.5012867450714111,0.49775734543800354,0.5054509043693542,0.5156232118606567,0.4612155258655548,0.4667917490005493,0.5344703793525696,0.5298969745635986,0.525170087814331,0.4662938714027405]","0.1","stack","64","0.1","20000","256","1","10","4","4","0","torch.optim.adam.Adam","[0.9,0.99]","0.000005","0.1","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1000","0.000002","64","25","0.7793229222297668","0.6042857766151428","0.08286496251821518","0.735802948474884","19999","0.003800000064074993","0.6660000085830688","3.2875187397003174","1.4108425378799438","0.4357210397720337","0.1508471816778183","0.7114030122756958","0.6370856165885925"
"BanditDT_lr=5e-06_layers=2_seq=64_embed=64","finished","-","","bandit","2024-08-13T22:19:19.000Z","629","","[0.715158224105835,0.2538370192050934,0.7420697212219238,0.26928046345710754,0.7629759907722473,0.2575136125087738,0.7290505766868591,0.3063233494758606,0.7439114451408386,0.271114706993103]","[0.26788556575775146,0.7275376915931702,0.28696298599243164,0.7303275465965271,0.26839134097099304,0.7625457644462585,0.2632993459701538,0.7283633351325989,0.3089433014392853,0.6961244940757751]","[0.5012867450714111,0.49775734543800354,0.5054509043693542,0.5156232118606567,0.4612155258655548,0.4667917490005493,0.5344703793525696,0.5298969745635986,0.525170087814331,0.4662938714027405]","0.1","stack","64","0.1","20000","256","1","10","4","2","0","torch.optim.adam.Adam","[0.9,0.99]","0.000005","0.1","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1000","0.000002","64","25","0.780677080154419","0.5982959270477295","0.08226950466632843","0.7361575365066528","19999","0.012799999676644802","0.6976000070571899","3.0678439140319824","1.2881697416305542","0.406743437051773","0.1362832933664322","0.6201918721199036","0.6271512508392334"
"BanditDT_lr=5e-06_layers=2_seq=64_embed=64","finished","-","","bandit","2024-08-13T22:18:54.000Z","18","","[0.715158224105835,0.2538370192050934,0.7420697212219238,0.26928046345710754,0.7629759907722473,0.2575136125087738,0.7290505766868591,0.3063233494758606,0.7439114451408386,0.271114706993103]","[0.26788556575775146,0.7275376915931702,0.28696298599243164,0.7303275465965271,0.26839134097099304,0.7625457644462585,0.2632993459701538,0.7283633351325989,0.3089433014392853,0.6961244940757751]","[0.5012867450714111,0.49775734543800354,0.5054509043693542,0.5156232118606567,0.4612155258655548,0.4667917490005493,0.5344703793525696,0.5298969745635986,0.525170087814331,0.4662938714027405]","0.1","stack","64","0.1","20000","256","1","10","3","2","0","torch.optim.adam.Adam","[0.9,0.99]","0.000005","0.1","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1000","0.000002","64","","","","","","","","","","","","","",""
"BanditDT_no_schedule","crashed","-","","bandit","2024-08-12T20:18:01.000Z","4350","","[0.715158224105835,0.2538370192050934,0.7420697212219238,0.26928046345710754,0.7629759907722473,0.2575136125087738,0.7290505766868591,0.3063233494758606,0.7439114451408386,0.271114706993103]","[0.26788556575775146,0.7275376915931702,0.28696298599243164,0.7303275465965271,0.26839134097099304,0.7625457644462585,0.2632993459701538,0.7283633351325989,0.3089433014392853,0.6961244940757751]","[0.5012867450714111,0.49775734543800354,0.5054509043693542,0.5156232118606567,0.4612155258655548,0.4667917490005493,0.5344703793525696,0.5298969745635986,0.525170087814331,0.4662938714027405]","0.1","stack","128","0.1","20000","512","1","10","4","4","0","torch.optim.adam.Adam","[0.9,0.99]","0.0001","0.1","","","","64","21","0.959385335445404","0.12607595324516296","0.05129886791110039","0.7067981362342834","9999","0.024666666984558105","0.09333333373069765","6.938178539276123","4.885420799255371","0.3229990303516388","0.2687495946884155","0.5108360052108765","0.5519255995750427"
"BanditDT_lr=5e-6","finished","-","","bandit","2024-08-12T19:42:58.000Z","2097","","[0.715158224105835,0.2538370192050934,0.7420697212219238,0.26928046345710754,0.7629759907722473,0.2575136125087738,0.7290505766868591,0.3063233494758606,0.7439114451408386,0.271114706993103]","[0.26788556575775146,0.7275376915931702,0.28696298599243164,0.7303275465965271,0.26839134097099304,0.7625457644462585,0.2632993459701538,0.7283633351325989,0.3089433014392853,0.6961244940757751]","[0.5012867450714111,0.49775734543800354,0.5054509043693542,0.5156232118606567,0.4612155258655548,0.4667917490005493,0.5344703793525696,0.5298969745635986,0.525170087814331,0.4662938714027405]","0.1","stack","128","0.1","20000","512","1","10","4","4","0","torch.optim.adam.Adam","[0.9,0.99]","0.000005","0.1","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1000","0.000002","64","21","0.7264072895050049","0.7570501565933228","0.1151447668671608","0.7351421117782593","9999","0.02199999988079071","0.5213333368301392","2.61864972114563","1.740460991859436","0.395209401845932","0.16456572711467743","0.622442364692688","0.6827014088630676"
"BanditDT_lr=1e-5","finished","-","","bandit","2024-08-12T19:29:36.000Z","796","","[0.715158224105835,0.2538370192050934,0.7420697212219238,0.26928046345710754,0.7629759907722473,0.2575136125087738,0.7290505766868591,0.3063233494758606,0.7439114451408386,0.271114706993103]","[0.26788556575775146,0.7275376915931702,0.28696298599243164,0.7303275465965271,0.26839134097099304,0.7625457644462585,0.2632993459701538,0.7283633351325989,0.3089433014392853,0.6961244940757751]","[0.5012867450714111,0.49775734543800354,0.5054509043693542,0.5156232118606567,0.4612155258655548,0.4667917490005493,0.5344703793525696,0.5298969745635986,0.525170087814331,0.4662938714027405]","0.1","stack","128","0.1","20000","512","1","10","4","4","0","torch.optim.adam.Adam","[0.9,0.99]","0.00001","0.1","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1000","0.000002","64","21","0.7505173683166504","0.7016706466674805","0.1144430935382843","0.7334257364273071","9999","0.049666665494441986","0.1313333362340927","2.231297254562378","1.7982239723205566","0.3647203743457794","0.1689302623271942","0.5511566996574402","0.6728475093841553"
"BanditDT","finished","-","","bandit","2024-08-12T19:17:10.000Z","739","","[0.715158224105835,0.2538370192050934,0.7420697212219238,0.26928046345710754,0.7629759907722473,0.2575136125087738,0.7290505766868591,0.3063233494758606,0.7439114451408386,0.271114706993103]","[0.26788556575775146,0.7275376915931702,0.28696298599243164,0.7303275465965271,0.26839134097099304,0.7625457644462585,0.2632993459701538,0.7283633351325989,0.3089433014392853,0.6961244940757751]","[0.5012867450714111,0.49775734543800354,0.5054509043693542,0.5156232118606567,0.4612155258655548,0.4667917490005493,0.5344703793525696,0.5298969745635986,0.525170087814331,0.4662938714027405]","0.1","stack","128","0.1","20000","512","1","10","4","4","0","torch.optim.adam.Adam","[0.9,0.99]","0.0001","0.1","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1000","0.000002","64","21","0.9558671116828918","0.1397370547056198","0.05274425446987152","0.7071075439453125","9999","0.03466666489839554","0.11233333498239516","5.861213684082031","4.203314304351807","0.34684163331985474","0.29486989974975586","0.5299912095069885","0.5175461173057556"
